,,,upper bound,lower bound,,slow ema,fast ema,,,% return
1h,20000,15,0.996,1.004,7,84,34,132,132,153.203522004959
1h,20000,15,0.996,1.004,7,88,12,172,172,152.837180113048
1h,20000,15,0.996,1.004,7,93,25,135,135,152.741690447305
1h,20000,15,0.996,1.004,7,99,47,112,112,152.544712237196
1h,20000,15,0.996,1.004,7,98,13,158,158,152.443214152266
1h,20000,15,0.996,1.004,7,73,13,184,184,152.413378781749
1h,20000,15,0.996,1.004,7,84,22,146,146,152.355440157945
1h,20000,15,0.996,1.004,7,84,33,135,135,152.267246502314
1h,20000,15,0.996,1.004,7,52,8,265,265,152.20139687185
1h,20000,15,0.996,1.004,7,87,3,285,285,152.128923478511
1h,20000,15,0.996,1.004,7,95,39,121,121,152.116583946444
1h,20000,15,0.996,1.004,7,87,31,132,132,151.943180026811
1h,20000,15,0.996,1.004,7,98,43,114,114,151.859596903326
1h,20000,15,0.996,1.004,7,78,39,139,139,151.836882938722
1h,20000,15,0.996,1.004,7,98,23,130,130,151.627469719631
1h,20000,15,0.996,1.004,7,86,3,286,286,151.487743063931
1h,20000,15,0.996,1.004,7,94,38,119,119,151.463970819317
1h,20000,15,0.996,1.004,7,91,48,129,129,151.429128635943
1h,20000,15,0.996,1.004,7,91,46,126,126,151.402870883654
1h,20000,15,0.996,1.004,7,96,43,121,121,151.387445870815
1h,20000,15,0.996,1.004,7,97,32,127,127,151.368855505127
1h,20000,15,0.996,1.004,7,84,18,156,156,151.36514581529
1h,20000,15,0.996,1.004,7,60,16,188,188,151.364073741699
1h,20000,15,0.996,1.004,7,86,16,165,165,151.315326360817
1h,20000,15,0.996,1.004,7,57,21,192,192,151.266432400773
1h,20000,15,0.996,1.004,7,84,25,149,149,151.24175960199
1h,20000,15,0.996,1.004,7,95,48,121,121,151.227598212465
1h,20000,15,0.996,1.004,7,78,12,179,179,151.086544155422
1h,20000,15,0.996,1.004,7,93,10,180,180,151.05425278376
1h,20000,15,0.996,1.004,7,90,14,166,166,151.052550123052
1h,20000,15,0.996,1.004,7,92,26,136,136,150.984013387967
1h,20000,15,0.996,1.004,7,79,11,182,182,150.965364948233
1h,20000,15,0.996,1.004,7,83,3,290,290,150.943719595324
1h,20000,15,0.996,1.004,7,91,38,122,122,150.888563326929
1h,20000,15,0.996,1.004,7,72,10,203,203,150.88495371093
1h,20000,15,0.996,1.004,7,94,43,119,119,150.87014577255
1h,20000,15,0.996,1.004,7,92,10,181,181,150.852303510958
1h,20000,15,0.996,1.004,7,52,19,209,209,150.838497473946
1h,20000,15,0.996,1.004,7,91,9,185,185,150.626287614855
1h,20000,15,0.996,1.004,7,82,17,161,161,150.595022850901
1h,20000,15,0.996,1.004,7,84,3,286,286,150.592452508621
1h,20000,15,0.996,1.004,7,80,36,139,139,150.516313357543
1h,20000,15,0.996,1.004,7,81,25,144,144,150.423122370955
1h,20000,15,0.996,1.004,7,84,21,146,146,150.315649321057
1h,20000,15,0.996,1.004,7,91,41,125,125,150.230045563435
1h,20000,15,0.996,1.004,7,79,39,137,137,150.129782965468
1h,20000,15,0.996,1.004,7,92,25,136,136,150.117330886248
1h,20000,15,0.996,1.004,7,98,12,161,161,150.105786094752
1h,20000,15,0.996,1.004,7,54,8,261,261,150.078904083649
1h,20000,15,0.996,1.004,7,92,11,176,176,149.994332805398
1h,20000,15,0.996,1.004,7,99,46,116,116,149.97025330086
1h,20000,15,0.996,1.004,7,69,10,212,212,149.91047448982
1h,20000,15,0.996,1.004,7,91,14,164,164,149.889983041308
1h,20000,15,0.996,1.004,7,62,16,185,185,149.881030279886
1h,20000,15,0.996,1.004,7,81,27,142,142,149.86648637802
1h,20000,15,0.996,1.004,7,91,18,154,154,149.832685257288
1h,20000,15,0.996,1.004,7,94,36,121,121,149.824628581854
1h,20000,15,0.996,1.004,7,97,37,116,116,149.76636643543
1h,20000,15,0.996,1.004,7,94,14,161,161,149.761209609655
1h,20000,15,0.996,1.004,7,92,42,125,125,149.759779204255
1h,20000,15,0.996,1.004,7,93,23,136,136,149.727500965227
1h,20000,15,0.996,1.004,7,97,38,114,114,149.706482108088
1h,20000,15,0.996,1.004,7,90,9,186,186,149.612717854764
1h,20000,15,0.996,1.004,7,98,47,111,111,149.608451191245
1h,20000,15,0.996,1.004,7,56,21,193,193,149.579380463745
1h,20000,15,0.996,1.004,7,85,9,189,189,149.305651860891
1h,20000,15,0.996,1.004,7,96,48,118,118,149.219258188324
1h,20000,15,0.996,1.004,7,55,22,195,195,149.19588168359
1h,20000,15,0.996,1.004,7,83,34,135,135,149.151158314241
1h,20000,15,0.996,1.004,7,86,15,168,168,149.065653851509
1h,20000,15,0.996,1.004,7,85,15,168,168,148.965323581412
1h,20000,15,0.996,1.004,7,99,37,112,112,148.914236252684
1h,20000,15,0.996,1.004,7,92,39,123,123,148.806755845904
1h,20000,15,0.996,1.004,7,80,49,145,145,148.736647357806
1h,20000,15,0.996,1.004,7,83,22,150,150,148.705519703253
1h,20000,15,0.996,1.004,7,95,23,133,133,148.667276781491
1h,20000,15,0.996,1.004,7,98,46,115,115,148.641530117256
1h,20000,15,0.996,1.004,7,81,13,171,171,148.530871505857
1h,20000,15,0.996,1.004,7,58,20,190,190,148.319915195287
1h,20000,15,0.996,1.004,7,90,11,176,176,148.092455739488
1h,20000,15,0.996,1.004,7,86,27,135,135,148.021711102286
1h,20000,15,0.996,1.004,7,94,23,132,132,147.969288185424
1h,20000,15,0.996,1.004,7,91,45,124,124,147.95223828438
1h,20000,15,0.996,1.004,7,88,49,133,133,147.929300418809
1h,20000,15,0.996,1.004,7,98,37,114,114,147.86032779632
1h,20000,15,0.996,1.004,7,97,23,131,131,147.536867118984
1h,20000,15,0.996,1.004,7,98,31,126,126,147.517118002055
1h,20000,15,0.996,1.004,7,85,3,287,287,147.46948739671
1h,20000,15,0.996,1.004,7,98,34,120,120,147.34000952107
1h,20000,15,0.996,1.004,7,81,8,205,205,147.322418670425
1h,20000,15,0.996,1.004,7,97,25,132,132,147.236899845102
1h,20000,15,0.996,1.004,7,86,32,132,132,147.073507236369
1h,20000,15,0.996,1.004,7,98,24,131,131,147.007623411867
1h,20000,15,0.996,1.004,7,98,36,115,115,146.931474153395
1h,20000,15,0.996,1.004,7,97,31,127,127,146.753242307967
1h,20000,15,0.996,1.004,7,98,38,113,113,146.645922369849
1h,20000,15,0.996,1.004,7,98,30,128,128,146.506617841526
1h,20000,15,0.996,1.004,7,99,24,130,130,146.492031111786
1h,20000,15,0.996,1.004,7,57,20,193,193,146.388679614958
1h,20000,15,0.996,1.004,7,83,9,194,194,146.368078665196
1h,20000,15,0.996,1.004,7,91,44,125,125,146.329489049504
1h,20000,15,0.996,1.004,7,96,36,119,119,146.282712330268
1h,20000,15,0.996,1.004,7,91,49,128,128,146.279123049788
1h,20000,15,0.996,1.004,7,96,28,133,133,146.122376522313
1h,20000,15,0.996,1.004,7,93,39,119,119,146.115121170028
1h,20000,15,0.996,1.004,7,93,12,171,171,146.089579759699
1h,20000,15,0.996,1.004,7,85,27,138,138,146.031548528154
1h,20000,15,0.996,1.004,7,90,39,125,125,145.986325224199
1h,20000,15,0.996,1.004,7,96,25,133,133,145.94060168784
1h,20000,15,0.996,1.004,7,95,28,137,137,145.795485568742
1h,20000,15,0.996,1.004,7,87,16,167,167,145.755239234234
1h,20000,15,0.996,1.004,7,89,31,127,127,145.744584406435
1h,20000,15,0.996,1.004,7,95,32,121,121,145.730009016509
1h,20000,15,0.996,1.004,7,65,15,190,190,145.630503838287
1h,20000,15,0.996,1.004,7,84,13,171,171,145.603046805883
1h,20000,15,0.996,1.004,7,54,19,205,205,145.549904898357
1h,20000,15,0.996,1.004,7,90,16,163,163,145.546144381807
1h,20000,15,0.996,1.004,7,60,20,186,186,145.533968252977
1h,20000,15,0.996,1.004,7,78,10,193,193,145.503154626585
1h,20000,15,0.996,1.004,7,86,21,148,148,145.326120891368
1h,20000,15,0.996,1.004,7,93,33,120,120,145.22817652418
1h,20000,15,0.996,1.004,7,95,24,132,132,145.179591687368
1h,20000,15,0.996,1.004,7,92,34,121,121,145.104652762533
1h,20000,15,0.996,1.004,7,88,30,130,130,144.989971757933
1h,20000,15,0.996,1.004,7,83,15,167,167,144.967339241897
1h,20000,15,0.996,1.004,7,99,31,124,124,144.929566993255
1h,20000,15,0.996,1.004,7,96,34,120,120,144.744677826795
1h,20000,15,0.996,1.004,7,64,14,199,199,144.726921882897
1h,20000,15,0.996,1.004,7,54,20,202,202,144.696284772328
1h,20000,15,0.996,1.004,7,84,16,167,167,144.619425531457
1h,20000,15,0.996,1.004,7,94,33,120,120,144.60314721459
1h,20000,15,0.996,1.004,7,99,34,116,116,144.517813120882
1h,20000,15,0.996,1.004,7,99,44,113,113,144.495294880302
1h,20000,15,0.996,1.004,7,76,12,183,183,144.492245907965
1h,20000,15,0.996,1.004,7,80,38,137,137,144.431259120282
1h,20000,15,0.996,1.004,7,88,48,133,133,144.397360261875
1h,20000,15,0.996,1.004,7,85,16,162,162,144.332600549469
1h,20000,15,0.996,1.004,7,91,15,163,163,144.312686047006
1h,20000,15,0.996,1.004,7,81,14,173,173,144.284403721283
1h,20000,15,0.996,1.004,7,68,14,187,187,144.253543384946
1h,20000,15,0.996,1.004,7,90,13,162,162,143.964567435422
1h,20000,15,0.996,1.004,7,51,7,279,279,143.898016413197
1h,20000,15,0.996,1.004,7,95,36,122,122,143.896181703903
1h,20000,15,0.996,1.004,7,53,8,264,264,143.896173888338
1h,20000,15,0.996,1.004,7,91,27,135,135,143.862699881686
1h,20000,15,0.996,1.004,7,78,37,142,142,143.819669000519
1h,20000,15,0.996,1.004,7,93,32,124,124,143.736107252652
1h,20000,15,0.996,1.004,7,63,14,193,193,143.686457978486
1h,20000,15,0.996,1.004,7,92,12,169,169,143.513987981971
1h,20000,15,0.996,1.004,7,83,19,150,150,143.48054772917
1h,20000,15,0.996,1.004,7,62,17,185,185,143.463134949984
1h,20000,15,0.996,1.004,7,96,38,117,117,143.444985508949
1h,20000,15,0.996,1.004,7,96,23,133,133,143.38230609631
1h,20000,15,0.996,1.004,7,94,24,136,136,143.198417938376
1h,20000,15,0.996,1.004,7,94,15,162,162,143.159282737259
1h,20000,15,0.996,1.004,7,90,38,126,126,143.057025769722
1h,20000,15,0.996,1.004,7,92,46,124,124,143.041286946194
1h,20000,15,0.996,1.004,7,50,19,215,215,143.024600432586
1h,20000,15,0.996,1.004,7,60,17,188,188,142.973658587705
1h,20000,15,0.996,1.004,7,93,37,121,121,142.9668510854
1h,20000,15,0.996,1.004,7,98,45,115,115,142.952481696808
1h,20000,15,0.996,1.004,7,86,20,148,148,142.910077895149
1h,20000,15,0.996,1.004,7,84,15,165,165,142.86896982417
1h,20000,15,0.996,1.004,7,98,35,117,117,142.856596125416
1h,20000,15,0.996,1.004,7,98,33,119,119,142.789034231156
1h,20000,15,0.996,1.004,7,92,33,121,121,142.702715865621
1h,20000,15,0.996,1.004,7,79,9,202,202,142.694612132148
1h,20000,15,0.996,1.004,7,91,28,132,132,142.688044013729
1h,20000,15,0.996,1.004,7,92,14,164,164,142.587312484156
1h,20000,15,0.996,1.004,7,97,12,159,159,142.495696795478
1h,20000,15,0.996,1.004,7,85,21,148,148,142.453787176228
1h,20000,15,0.996,1.004,7,83,24,148,148,142.427114819971
1h,20000,15,0.996,1.004,7,65,13,198,198,142.413982422758
1h,20000,15,0.996,1.004,7,63,16,186,186,142.251757830547
1h,20000,15,0.996,1.004,7,99,45,114,114,142.242314145902
1h,20000,15,0.996,1.004,7,97,35,117,117,142.208505263962
1h,20000,15,0.996,1.004,7,69,14,184,184,142.080867063609
1h,20000,15,0.996,1.004,7,69,16,182,182,141.950763052256
1h,20000,15,0.996,1.004,7,96,33,122,122,141.949750095057
1h,20000,15,0.996,1.004,7,83,23,148,148,141.921977943846
1h,20000,15,0.996,1.004,7,96,26,131,131,141.891101158559
1h,20000,15,0.996,1.004,7,89,17,164,164,141.889460333067
1h,20000,15,0.996,1.004,7,98,27,132,132,141.88372542829
1h,20000,15,0.996,1.004,7,93,34,122,122,141.877499722083
1h,20000,15,0.996,1.004,7,75,13,178,178,141.872140740465
1h,20000,15,0.996,1.004,7,54,21,203,203,141.6328367795
1h,20000,15,0.996,1.004,7,58,21,192,192,141.608042439808
1h,20000,15,0.996,1.004,7,79,27,149,149,141.558670355302
1h,20000,15,0.996,1.004,7,99,25,128,128,141.555868560663
1h,20000,15,0.996,1.004,7,84,19,154,154,141.402257858011
1h,20000,15,0.996,1.004,7,87,18,156,156,141.335132526414
1h,20000,15,0.996,1.004,7,91,10,181,181,141.289755652045
1h,20000,15,0.996,1.004,7,82,9,194,194,141.238177715676
1h,20000,15,0.996,1.004,7,84,20,149,149,141.16709271997
1h,20000,15,0.996,1.004,7,91,47,127,127,141.167056998934
1h,20000,15,0.996,1.004,7,89,40,129,129,141.138685883042
1h,20000,15,0.996,1.004,7,82,13,175,175,141.048600737626
1h,20000,15,0.996,1.004,7,87,20,145,145,141.00756359662
1h,20000,15,0.996,1.004,7,77,12,184,184,141.001867683715
1h,20000,15,0.996,1.004,7,79,10,187,187,140.995868094465
1h,20000,15,0.996,1.004,7,80,24,150,150,140.992608678825
1h,20000,15,0.996,1.004,7,80,11,183,183,140.927900195895
1h,20000,15,0.996,1.004,7,90,31,125,125,140.700935736347
1h,20000,15,0.996,1.004,7,56,18,197,197,140.586355399004
1h,20000,15,0.996,1.004,7,70,10,208,208,140.539343508984
1h,20000,15,0.996,1.004,7,99,35,117,117,140.48944046214
1h,20000,15,0.996,1.004,7,96,27,135,135,140.395230036698
1h,20000,15,0.996,1.004,7,96,35,120,120,140.353404812676
1h,20000,15,0.996,1.004,7,93,14,164,164,140.328492865575
1h,20000,15,0.996,1.004,7,97,24,135,135,140.220530177662
1h,20000,15,0.996,1.004,7,98,32,124,124,140.12182729801
1h,20000,15,0.996,1.004,7,91,26,137,137,139.821780790312
1h,20000,15,0.996,1.004,7,80,15,170,170,139.787522579846
1h,20000,15,0.996,1.004,7,80,9,202,202,139.677367072446
1h,20000,15,0.996,1.004,7,99,27,125,125,139.406266729604
1h,20000,15,0.996,1.004,7,80,14,174,174,139.356271162403
1h,20000,15,0.996,1.004,7,91,17,163,163,139.349708496755
1h,20000,15,0.996,1.004,7,51,8,271,271,139.310358662667
1h,20000,15,0.996,1.004,7,90,28,133,133,139.273545869175
1h,20000,15,0.996,1.004,7,85,33,134,134,138.944399868218
1h,20000,15,0.996,1.004,7,52,21,206,206,138.93926553533
1h,20000,15,0.996,1.004,7,90,48,129,129,138.918713347265
1h,20000,15,0.996,1.004,7,77,13,175,175,138.887843440268
1h,20000,15,0.996,1.004,7,96,24,135,135,138.886097445739
1h,20000,15,0.996,1.004,7,75,35,149,149,138.821457370955
1h,20000,15,0.996,1.004,7,76,13,178,178,138.816871731567
1h,20000,15,0.996,1.004,7,82,42,137,137,138.71494028683
1h,20000,15,0.996,1.004,7,83,49,136,136,138.66574386059
1h,20000,15,0.996,1.004,7,90,12,170,170,138.593618390378
1h,20000,15,0.996,1.004,7,91,13,166,166,138.537788934844
1h,20000,15,0.996,1.004,7,82,15,168,168,138.527316344102
1h,20000,15,0.996,1.004,7,92,15,161,161,138.455124666211
1h,20000,15,0.996,1.004,7,58,19,190,190,138.391167123215
1h,20000,15,0.996,1.004,7,99,30,124,124,138.377781560694
1h,20000,15,0.996,1.004,7,56,22,196,196,138.287382244615
1h,20000,15,0.996,1.004,7,94,32,122,122,138.259825770789
1h,20000,15,0.996,1.004,7,79,14,172,172,138.125698936762
1h,20000,15,0.996,1.004,7,94,31,123,123,138.115667337157
1h,20000,15,0.996,1.004,7,94,30,131,131,138.085198607371
1h,20000,15,0.996,1.004,7,88,11,179,179,138.044210771825
1h,20000,15,0.996,1.004,7,77,39,139,139,138.033727061091
1h,20000,15,0.996,1.004,7,57,19,194,194,137.981130798849
1h,20000,15,0.996,1.004,7,95,29,131,131,137.948443954101
1h,20000,15,0.996,1.004,7,98,48,115,115,137.818575466229
1h,20000,15,0.996,1.004,7,85,13,171,171,137.813319228007
1h,20000,15,0.996,1.004,7,91,11,174,174,137.646850820134
1h,20000,15,0.996,1.004,7,65,14,197,197,137.594662766323
1h,20000,15,0.996,1.004,7,95,33,119,119,137.578839057031
1h,20000,15,0.996,1.004,7,90,32,126,126,137.577030413374
1h,20000,15,0.996,1.004,7,89,30,129,129,137.548530491175
1h,20000,15,0.996,1.004,7,81,15,172,172,137.524161281983
1h,20000,15,0.996,1.004,7,97,36,117,117,137.511982108025
1h,20000,15,0.996,1.004,7,97,33,125,125,137.481682261866
1h,20000,15,0.996,1.004,7,87,30,133,133,137.419138733442
1h,20000,15,0.996,1.004,7,80,39,135,135,137.40564778699
1h,20000,15,0.996,1.004,7,70,14,181,181,137.32200565223
1h,20000,15,0.996,1.004,7,79,28,144,144,137.126070423964
1h,20000,15,0.996,1.004,7,99,26,128,128,137.092462419248
1h,20000,15,0.996,1.004,7,99,28,124,124,137.038619536197
1h,20000,15,0.996,1.004,7,86,33,133,133,137.027322367615
1h,20000,15,0.996,1.004,7,92,28,135,135,137.021919365589
1h,20000,15,0.996,1.004,7,90,27,134,134,137.017807729195
1h,20000,15,0.996,1.004,7,94,49,123,123,137.012007380501
1h,20000,15,0.996,1.004,7,50,20,213,213,136.999970984461
1h,20000,15,0.996,1.004,7,83,13,174,174,136.988234060874
1h,20000,15,0.996,1.004,7,82,16,165,165,136.891132712637
1h,20000,15,0.996,1.004,7,87,9,189,189,136.861004238429
1h,20000,15,0.996,1.004,7,80,37,140,140,136.850021332897
1h,20000,15,0.996,1.004,7,92,13,163,163,136.789921413898
1h,20000,15,0.996,1.004,7,92,35,122,122,136.68109704383
1h,20000,15,0.996,1.004,7,80,25,146,146,136.613535906366
1h,20000,15,0.996,1.004,7,99,48,111,111,136.583967004427
1h,20000,15,0.996,1.004,7,79,36,142,142,136.563594198592
1h,20000,15,0.996,1.004,7,93,31,124,124,136.562061773461
1h,20000,15,0.996,1.004,7,76,17,160,160,136.554998904273
1h,20000,15,0.996,1.004,7,99,32,124,124,136.492589866974
1h,20000,15,0.996,1.004,7,94,35,120,120,136.328437406699
1h,20000,15,0.996,1.004,7,78,11,189,189,136.223146112611
1h,20000,15,0.996,1.004,7,94,13,161,161,136.131444215712
1h,20000,15,0.996,1.004,7,86,9,190,190,136.126800580603
1h,20000,15,0.996,1.004,7,53,21,201,201,136.001344576413
1h,20000,15,0.996,1.004,7,77,11,189,189,135.997547099019
1h,20000,15,0.996,1.004,7,96,31,126,126,135.90672842049
1h,20000,15,0.996,1.004,7,68,16,183,183,135.901629799248
1h,20000,15,0.996,1.004,7,79,17,156,156,135.859302991957
1h,20000,15,0.996,1.004,7,96,32,127,127,135.834384979022
1h,20000,15,0.996,1.004,7,90,46,128,128,135.758442927584
1h,20000,15,0.996,1.004,7,89,41,131,131,135.649357745471
1h,20000,15,0.996,1.004,7,83,14,167,167,135.618441563671
1h,20000,15,0.996,1.004,7,92,32,123,123,135.524600678553
1h,20000,15,0.996,1.004,7,52,20,210,210,135.198915159617
1h,20000,15,0.996,1.004,7,83,28,140,140,135.1288371351
1h,20000,15,0.996,1.004,7,85,30,136,136,135.107883649014
1h,20000,15,0.996,1.004,7,83,21,148,148,135.10643550219
1h,20000,15,0.996,1.004,7,90,49,131,131,135.033923856948
1h,20000,15,0.996,1.004,7,95,31,125,125,135.032249653021
1h,20000,15,0.996,1.004,7,92,49,126,126,135.020038261141
1h,20000,15,0.996,1.004,7,99,29,125,125,134.927543852829
1h,20000,15,0.996,1.004,7,81,43,138,138,134.906034392231
1h,20000,15,0.996,1.004,7,94,29,131,131,134.892983573532
1h,20000,15,0.996,1.004,7,83,17,160,160,134.84099869261
1h,20000,15,0.996,1.004,7,89,11,178,178,134.837709390236
1h,20000,15,0.996,1.004,7,81,42,139,139,134.761723724664
1h,20000,15,0.996,1.004,7,81,49,138,138,134.722083203142
1h,20000,15,0.996,1.004,7,97,27,132,132,134.720577991063
1h,20000,15,0.996,1.004,7,59,20,188,188,134.613951046795
1h,20000,15,0.996,1.004,7,74,18,159,159,134.571779305245
1h,20000,15,0.996,1.004,7,90,30,130,130,134.536976594941
1h,20000,15,0.996,1.004,7,92,37,119,119,134.452152754366
1h,20000,15,0.996,1.004,7,91,16,163,163,134.422628112838
1h,20000,15,0.996,1.004,7,78,26,148,148,134.415508013862
1h,20000,15,0.996,1.004,7,95,13,158,158,134.362918975265
1h,20000,15,0.996,1.004,7,58,18,192,192,134.275309795326
1h,20000,15,0.996,1.004,7,92,45,126,126,134.243815440617
1h,20000,15,0.996,1.004,7,89,13,170,170,134.16979126631
1h,20000,15,0.996,1.004,7,94,34,119,119,134.055736835173
1h,20000,15,0.996,1.004,7,84,14,170,170,133.995801685329
1h,20000,15,0.996,1.004,7,75,33,148,148,133.815588384187
1h,20000,15,0.996,1.004,7,91,12,170,170,133.762867108449
1h,20000,15,0.996,1.004,7,97,28,134,134,133.666280334514
1h,20000,15,0.996,1.004,7,89,49,132,132,133.570676782071
1h,20000,15,0.996,1.004,7,64,18,178,178,133.540497363077
1h,20000,15,0.996,1.004,7,97,48,115,115,133.366568994662
1h,20000,15,0.996,1.004,7,77,17,162,162,133.283520159452
1h,20000,15,0.996,1.004,7,82,24,150,150,133.232268492107
1h,20000,15,0.996,1.004,7,93,15,161,161,133.228373376483
1h,20000,15,0.996,1.004,7,81,38,136,136,133.174987108099
1h,20000,15,0.996,1.004,7,90,17,164,164,133.000245385055
1h,20000,15,0.996,1.004,7,88,31,130,130,132.906736274042
1h,20000,15,0.996,1.004,7,87,49,135,135,132.85141913655
1h,20000,15,0.996,1.004,7,76,35,147,147,132.767380947447
1h,20000,15,0.996,1.004,7,95,49,121,121,132.757707849719
1h,20000,15,0.996,1.004,7,94,27,135,135,132.715380359561
1h,20000,15,0.996,1.004,7,90,10,180,180,132.684233491634
1h,20000,15,0.996,1.004,7,90,34,127,127,132.606670670113
1h,20000,15,0.996,1.004,7,97,26,132,132,132.603577288549
1h,20000,15,0.996,1.004,7,92,27,135,135,132.53832911346
1h,20000,15,0.996,1.004,7,81,39,136,136,132.500455220274
1h,20000,15,0.996,1.004,7,63,18,180,180,132.500211421169
1h,20000,15,0.996,1.004,7,82,43,135,135,132.493789463225
1h,20000,15,0.996,1.004,7,80,16,162,162,132.403595882257
1h,20000,15,0.996,1.004,7,95,27,135,135,132.376695210417
1h,20000,15,0.996,1.004,7,96,49,117,117,132.340455798134
1h,20000,15,0.996,1.004,7,53,22,203,203,132.312041483194
1h,20000,15,0.996,1.004,7,80,41,139,139,132.267500853417
1h,20000,15,0.996,1.004,7,87,12,170,170,132.263974186478
1h,20000,15,0.996,1.004,7,74,14,174,174,132.220854941337
1h,20000,15,0.996,1.004,7,93,28,134,134,132.124976840254
1h,20000,15,0.996,1.004,7,72,37,149,149,132.123601055894
1h,20000,15,0.996,1.004,7,97,30,131,131,132.04955352135
1h,20000,15,0.996,1.004,7,96,30,130,130,132.007197542699
1h,20000,15,0.996,1.004,7,93,49,126,126,131.961368744699
1h,20000,15,0.996,1.004,7,95,34,119,119,131.896233091001
1h,20000,15,0.996,1.004,7,89,42,131,131,131.869849819222
1h,20000,15,0.996,1.004,7,76,38,143,143,131.77624840594
1h,20000,15,0.996,1.004,7,93,27,136,136,131.747165416495
1h,20000,15,0.996,1.004,7,79,40,139,139,131.663028309867
1h,20000,15,0.996,1.004,7,92,36,122,122,131.644626325169
1h,20000,15,0.996,1.004,7,87,14,167,167,131.565218782967
1h,20000,15,0.996,1.004,7,84,41,137,137,131.532746158001
1h,20000,15,0.996,1.004,7,61,17,187,187,131.518066077261
1h,20000,15,0.996,1.004,7,99,33,119,119,131.407423159813
1h,20000,15,0.996,1.004,7,98,26,129,129,131.288431971553
1h,20000,15,0.996,1.004,7,91,37,123,123,131.264107102196
1h,20000,15,0.996,1.004,7,91,43,129,129,131.206959976333
1h,20000,15,0.996,1.004,7,60,21,187,187,131.20611575438
1h,20000,15,0.996,1.004,7,83,16,166,166,131.164721251419
1h,20000,15,0.996,1.004,7,93,13,162,162,131.15364801701
1h,20000,15,0.996,1.004,7,91,31,124,124,131.062600753279
1h,20000,15,0.996,1.004,7,74,37,146,146,130.906416768544
1h,20000,15,0.996,1.004,7,88,38,130,130,130.752031169522
1h,20000,15,0.996,1.004,7,74,35,147,147,130.713211511749
1h,20000,15,0.996,1.004,7,88,42,137,137,130.661402711363
1h,20000,15,0.996,1.004,7,61,18,184,184,130.642335942603
1h,20000,15,0.996,1.004,7,62,18,180,180,130.572907934245
1h,20000,15,0.996,1.004,7,80,28,145,145,130.568813614202
1h,20000,15,0.996,1.004,7,90,29,130,130,130.536132257125
1h,20000,15,0.996,1.004,7,63,20,177,177,130.458424781626
1h,20000,15,0.996,1.004,7,99,49,115,115,130.453024373315
1h,20000,15,0.996,1.004,7,82,39,136,136,130.409668665363
1h,20000,15,0.996,1.004,7,95,30,131,131,130.360600337491
1h,20000,15,0.996,1.004,7,88,14,167,167,130.329380153137
1h,20000,15,0.996,1.004,7,68,17,178,178,130.057433351616
1h,20000,15,0.996,1.004,7,98,28,130,130,130.045758221561
1h,20000,15,0.996,1.004,7,83,35,134,134,130.037779956781
1h,20000,15,0.996,1.004,7,84,35,132,132,130.030341895627
1h,20000,15,0.996,1.004,7,75,14,171,171,130.019674428892
1h,20000,15,0.996,1.004,7,79,26,147,147,129.969039249179
1h,20000,15,0.996,1.004,7,81,29,142,142,129.954145938263
1h,20000,15,0.996,1.004,7,83,29,136,136,129.929796378277
1h,20000,15,0.996,1.004,7,93,36,123,123,129.829588827095
1h,20000,15,0.996,1.004,7,80,40,137,137,129.828410866244
1h,20000,15,0.996,1.004,7,68,18,175,175,129.760886324695
1h,20000,15,0.996,1.004,7,86,12,175,175,129.740649741291
1h,20000,15,0.996,1.004,7,80,12,177,177,129.710087825167
1h,20000,15,0.996,1.004,7,89,9,186,186,129.693350947537
1h,20000,15,0.996,1.004,7,80,13,173,173,129.683942764413
1h,20000,15,0.996,1.004,7,66,15,186,186,129.660813932098
1h,20000,15,0.996,1.004,7,72,38,147,147,129.629916057721
1h,20000,15,0.996,1.004,7,88,47,135,135,129.542713288757
1h,20000,15,0.996,1.004,7,88,18,158,158,129.497017958439
1h,20000,15,0.996,1.004,7,78,13,174,174,129.463342263736
1h,20000,15,0.996,1.004,7,82,38,137,137,129.420925813041
1h,20000,15,0.996,1.004,7,78,41,138,138,129.369872276307
1h,20000,15,0.996,1.004,7,78,17,163,163,129.359752034627
1h,20000,15,0.996,1.004,7,88,9,187,187,129.295387029947
1h,20000,15,0.996,1.004,7,89,10,181,181,129.260793605043
1h,20000,15,0.996,1.004,7,89,18,159,159,129.136880937902
1h,20000,15,0.996,1.004,7,91,29,132,132,129.134048608121
1h,20000,15,0.996,1.004,7,78,27,147,147,129.126066094239
1h,20000,15,0.996,1.004,7,96,29,131,131,128.982842232612
1h,20000,15,0.996,1.004,7,90,41,132,132,128.780244177581
1h,20000,15,0.996,1.004,7,69,17,177,177,128.75889182974
1h,20000,15,0.996,1.004,7,54,22,200,200,128.61782352541
1h,20000,15,0.996,1.004,7,74,31,148,148,128.54549092271
1h,20000,15,0.996,1.004,7,76,33,145,145,128.533265618268
1h,20000,15,0.996,1.004,7,78,40,138,138,128.454699951625
1h,20000,15,0.996,1.004,7,88,32,129,129,128.162527756132
1h,20000,15,0.996,1.004,7,89,37,129,129,128.148579068993
1h,20000,15,0.996,1.004,7,78,31,140,140,128.053354675129
1h,20000,15,0.996,1.004,7,93,29,133,133,127.963024168374
1h,20000,15,0.996,1.004,7,97,29,133,133,127.908076156555
1h,20000,15,0.996,1.004,7,90,37,125,125,127.902992240839
