,,,upper bound,lower bound,,slow ema,fast ema,,,% return
1h,20000,15,0.996,1.004,7,98,19,135,135,220.632137531651
1h,20000,15,0.996,1.004,7,60,1,462,462,220.207484402379
1h,20000,15,0.996,1.004,7,51,16,212,212,220.083769859082
1h,20000,15,0.996,1.004,7,52,3,349,349,219.99439888679
1h,20000,15,0.996,1.004,7,75,1,405,405,219.949169171558
1h,20000,15,0.996,1.004,7,53,15,212,212,219.941210188903
1h,20000,15,0.996,1.004,7,96,5,217,217,219.939253428968
1h,20000,15,0.996,1.004,7,96,6,204,204,219.782787892716
1h,20000,15,0.996,1.004,7,58,6,271,271,219.662972199674
1h,20000,15,0.996,1.004,7,78,7,221,221,219.56406854432
1h,20000,15,0.996,1.004,7,90,6,210,210,219.195390120475
1h,20000,15,0.996,1.004,7,74,1,402,402,219.147209493337
1h,20000,15,0.996,1.004,7,61,8,238,238,218.656818150625
1h,20000,15,0.996,1.004,7,60,5,281,281,218.551901437462
1h,20000,15,0.996,1.004,7,71,4,268,268,218.470571377022
1h,20000,15,0.996,1.004,7,54,6,273,273,217.729467391911
1h,20000,15,0.996,1.004,7,54,13,215,215,217.580288680841
1h,20000,15,0.996,1.004,7,60,14,198,198,217.520023844173
1h,20000,15,0.996,1.004,7,65,11,207,207,217.42470633549
1h,20000,15,0.996,1.004,7,56,14,205,205,217.423687480924
1h,20000,15,0.996,1.004,7,91,5,220,220,217.159962716461
1h,20000,15,0.996,1.004,7,52,16,211,211,217.15847980441
1h,20000,15,0.996,1.004,7,70,2,351,351,216.975024773783
1h,20000,15,0.996,1.004,7,59,14,197,197,216.466604667757
1h,20000,15,0.996,1.004,7,99,18,142,142,216.464368497048
1h,20000,15,0.996,1.004,7,89,6,211,211,216.363876181138
1h,20000,15,0.996,1.004,7,53,6,276,276,216.34882950274
1h,20000,15,0.996,1.004,7,59,8,237,237,216.120757186013
1h,20000,15,0.996,1.004,7,65,6,254,254,215.99062533861
1h,20000,15,0.996,1.004,7,96,7,191,191,215.865145073288
1h,20000,15,0.996,1.004,7,93,4,239,239,215.838913458214
1h,20000,15,0.996,1.004,7,76,8,208,208,215.816869691761
1h,20000,15,0.996,1.004,7,56,5,286,286,215.808151108917
1h,20000,15,0.996,1.004,7,74,8,212,212,215.797650602479
1h,20000,15,0.996,1.004,7,62,8,236,236,215.765207886214
1h,20000,15,0.996,1.004,7,74,4,266,266,215.676960777374
1h,20000,15,0.996,1.004,7,63,11,208,208,215.387469105098
1h,20000,15,0.996,1.004,7,66,5,270,270,214.942565236989
1h,20000,15,0.996,1.004,7,96,4,239,239,214.822964640493
1h,20000,15,0.996,1.004,7,69,6,241,241,214.745088831625
1h,20000,15,0.996,1.004,7,66,11,202,202,214.705158128593
1h,20000,15,0.996,1.004,7,58,5,292,292,214.616958031685
1h,20000,15,0.996,1.004,7,75,5,248,248,214.489222278168
1h,20000,15,0.996,1.004,7,95,1,358,358,214.22115271659
1h,20000,15,0.996,1.004,7,97,4,241,241,213.890617841272
1h,20000,15,0.996,1.004,7,54,2,394,394,213.798599894
1h,20000,15,0.996,1.004,7,94,1,358,358,213.406280868065
1h,20000,15,0.996,1.004,7,58,4,308,308,213.100336557443
1h,20000,15,0.996,1.004,7,54,14,214,214,213.078709378729
1h,20000,15,0.996,1.004,7,78,4,258,258,213.007128766194
1h,20000,15,0.996,1.004,7,97,3,263,263,212.932734465212
1h,20000,15,0.996,1.004,7,51,6,282,282,212.900176857666
1h,20000,15,0.996,1.004,7,73,2,346,346,212.836249465593
1h,20000,15,0.996,1.004,7,96,20,136,136,212.713960200798
1h,20000,15,0.996,1.004,7,94,6,209,209,212.71194956943
1h,20000,15,0.996,1.004,7,52,2,399,399,212.709383373666
1h,20000,15,0.996,1.004,7,57,5,288,288,212.574210643265
1h,20000,15,0.996,1.004,7,82,4,250,250,212.471589278151
1h,20000,15,0.996,1.004,7,94,4,237,237,212.2313805357
1h,20000,15,0.996,1.004,7,57,8,244,244,211.910518294741
1h,20000,15,0.996,1.004,7,86,5,231,231,211.429499702621
1h,20000,15,0.996,1.004,7,63,8,240,240,211.389272012726
1h,20000,15,0.996,1.004,7,52,17,208,208,211.065135553837
1h,20000,15,0.996,1.004,7,60,8,236,236,211.042002552469
1h,20000,15,0.996,1.004,7,51,4,328,328,210.951060818443
1h,20000,15,0.996,1.004,7,82,7,216,216,210.843309921297
1h,20000,15,0.996,1.004,7,59,5,284,284,210.360692870902
1h,20000,15,0.996,1.004,7,59,4,311,311,210.287707202824
1h,20000,15,0.996,1.004,7,55,14,214,214,210.245907615749
1h,20000,15,0.996,1.004,7,63,9,225,225,210.178066115234
1h,20000,15,0.996,1.004,7,79,1,392,392,210.150750554367
1h,20000,15,0.996,1.004,7,98,7,194,194,209.901846422317
1h,20000,15,0.996,1.004,7,77,1,398,398,209.558963476782
1h,20000,15,0.996,1.004,7,74,5,241,241,209.426718294051
1h,20000,15,0.996,1.004,7,82,5,236,236,209.276806448816
1h,20000,15,0.996,1.004,7,75,6,232,232,209.204174847318
1h,20000,15,0.996,1.004,7,97,21,132,132,209.200166431714
1h,20000,15,0.996,1.004,7,76,7,226,226,209.18894019381
1h,20000,15,0.996,1.004,7,64,6,259,259,209.092051314831
1h,20000,15,0.996,1.004,7,77,4,261,261,208.938785194343
1h,20000,15,0.996,1.004,7,92,1,367,367,208.864976156486
