,,,,,Sma 200,Sma 50,Sma 1,Sma 2,,,% return
1h,2000,15,0.996,1.004,192,64,28,8,39,38,-0.252194172014264
1h,2000,15,0.996,1.004,192,64,30,2,39,38,-0.252194172014264
1h,2000,15,0.996,1.004,192,64,30,4,39,38,-0.252194172014264
1h,2000,15,0.996,1.004,192,64,30,6,39,38,-0.252194172014264
1h,2000,15,0.996,1.004,192,64,30,8,39,38,-0.252194172014264
1h,2000,15,0.996,1.004,192,64,32,2,39,38,-0.252194172014264
1h,2000,15,0.996,1.004,192,64,32,4,39,38,-0.252194172014264
1h,2000,15,0.996,1.004,192,64,32,6,39,38,-0.252194172014264
1h,2000,15,0.996,1.004,192,64,32,8,39,38,-0.252194172014264
1h,2000,15,0.996,1.004,192,64,34,2,39,38,-0.252194172014264
1h,2000,15,0.996,1.004,192,64,34,4,39,38,-0.252194172014264
1h,2000,15,0.996,1.004,192,64,34,6,39,38,-0.252194172014264
1h,2000,15,0.996,1.004,192,64,34,8,39,38,-0.252194172014264
1h,2000,15,0.996,1.004,192,64,36,2,39,38,-0.252194172014264
1h,2000,15,0.996,1.004,192,64,36,4,39,38,-0.252194172014264
1h,2000,15,0.996,1.004,192,64,36,6,39,38,-0.252194172014264
1h,2000,15,0.996,1.004,192,64,36,8,39,38,-0.252194172014264
1h,2000,15,0.996,1.004,192,64,38,2,39,38,-0.252194172014264
1h,2000,15,0.996,1.004,192,64,38,4,39,38,-0.252194172014264
1h,2000,15,0.996,1.004,192,64,38,6,39,38,-0.252194172014264
1h,2000,15,0.996,1.004,192,64,38,8,39,38,-0.252194172014264
1h,2000,15,0.996,1.004,192,66,20,2,39,38,-0.059272790268416475
1h,2000,15,0.996,1.004,192,66,20,4,39,38,-0.059272790268416475
1h,2000,15,0.996,1.004,192,66,20,6,39,38,-0.059272790268416475
1h,2000,15,0.996,1.004,192,66,20,8,39,38,-0.059272790268416475
1h,2000,15,0.996,1.004,192,66,22,2,39,38,-0.059272790268416475
1h,2000,15,0.996,1.004,192,66,22,4,39,38,-0.059272790268416475
1h,2000,15,0.996,1.004,192,66,22,6,39,38,-0.059272790268416475
1h,2000,15,0.996,1.004,192,66,22,8,39,38,-0.059272790268416475
1h,2000,15,0.996,1.004,192,66,24,2,39,38,-0.059272790268416475
1h,2000,15,0.996,1.004,192,66,24,4,39,38,-0.059272790268416475
1h,2000,15,0.996,1.004,192,66,24,6,39,38,-0.059272790268416475
1h,2000,15,0.996,1.004,192,66,24,8,39,38,-0.059272790268416475
1h,2000,15,0.996,1.004,192,66,26,2,39,38,-0.059272790268416475
1h,2000,15,0.996,1.004,192,66,26,4,39,38,-0.059272790268416475
1h,2000,15,0.996,1.004,192,66,26,6,39,38,-0.059272790268416475
1h,2000,15,0.996,1.004,192,66,26,8,39,38,-0.059272790268416475
1h,2000,15,0.996,1.004,192,66,28,2,39,38,-0.059272790268416475
1h,2000,15,0.996,1.004,192,66,28,4,39,38,-0.059272790268416475
1h,2000,15,0.996,1.004,192,66,28,6,39,38,-0.059272790268416475
1h,2000,15,0.996,1.004,192,66,28,8,39,38,-0.059272790268416475
1h,2000,15,0.996,1.004,192,66,30,2,39,38,-0.059272790268416475
1h,2000,15,0.996,1.004,192,66,30,4,39,38,-0.059272790268416475
1h,2000,15,0.996,1.004,192,66,30,6,39,38,-0.059272790268416475
1h,2000,15,0.996,1.004,192,66,30,8,39,38,-0.059272790268416475
1h,2000,15,0.996,1.004,192,66,32,2,39,38,-0.059272790268416475
1h,2000,15,0.996,1.004,192,66,32,4,39,38,-0.059272790268416475
1h,2000,15,0.996,1.004,192,66,32,6,39,38,-0.059272790268416475
1h,2000,15,0.996,1.004,192,66,32,8,39,38,-0.059272790268416475
1h,2000,15,0.996,1.004,192,66,34,2,39,38,-0.059272790268416475
1h,2000,15,0.996,1.004,192,66,34,4,39,38,-0.059272790268416475
1h,2000,15,0.996,1.004,192,66,34,6,39,38,-0.059272790268416475
1h,2000,15,0.996,1.004,192,66,34,8,39,38,-0.059272790268416475
1h,2000,15,0.996,1.004,192,66,36,2,39,38,-0.059272790268416475
1h,2000,15,0.996,1.004,192,66,36,4,39,38,-0.059272790268416475
1h,2000,15,0.996,1.004,192,66,36,6,39,38,-0.059272790268416475
1h,2000,15,0.996,1.004,192,66,36,8,39,38,-0.059272790268416475
1h,2000,15,0.996,1.004,192,66,38,2,39,38,-0.059272790268416475
1h,2000,15,0.996,1.004,192,66,38,4,39,38,-0.059272790268416475
1h,2000,15,0.996,1.004,192,66,38,6,39,38,-0.059272790268416475
1h,2000,15,0.996,1.004,192,66,38,8,39,38,-0.059272790268416475
1h,2000,15,0.996,1.004,192,68,20,2,39,38,0.24402339507252346
1h,2000,15,0.996,1.004,192,68,20,4,39,38,0.24402339507252346
1h,2000,15,0.996,1.004,192,68,20,6,39,38,0.24402339507252346
1h,2000,15,0.996,1.004,192,68,20,8,39,38,0.24402339507252346
1h,2000,15,0.996,1.004,192,68,22,2,39,38,0.24402339507252346
1h,2000,15,0.996,1.004,192,68,22,4,39,38,0.24402339507252346
1h,2000,15,0.996,1.004,192,68,22,6,39,38,0.24402339507252346
1h,2000,15,0.996,1.004,192,68,22,8,39,38,0.24402339507252346
1h,2000,15,0.996,1.004,192,68,24,2,39,38,0.24402339507252346
1h,2000,15,0.996,1.004,192,68,24,4,39,38,0.24402339507252346
1h,2000,15,0.996,1.004,192,68,24,6,39,38,0.24402339507252346
1h,2000,15,0.996,1.004,192,68,24,8,39,38,0.24402339507252346
1h,2000,15,0.996,1.004,192,68,26,2,39,38,0.24402339507252346
1h,2000,15,0.996,1.004,192,68,26,4,39,38,0.24402339507252346
1h,2000,15,0.996,1.004,192,68,26,6,39,38,0.24402339507252346
1h,2000,15,0.996,1.004,192,68,26,8,39,38,0.24402339507252346
1h,2000,15,0.996,1.004,192,68,28,2,39,38,0.24402339507252346
1h,2000,15,0.996,1.004,192,68,28,4,39,38,0.24402339507252346
1h,2000,15,0.996,1.004,192,68,28,6,39,38,0.24402339507252346
1h,2000,15,0.996,1.004,192,68,28,8,39,38,0.24402339507252346
1h,2000,15,0.996,1.004,192,68,30,2,39,38,0.24402339507252346
1h,2000,15,0.996,1.004,192,68,30,4,39,38,0.24402339507252346
1h,2000,15,0.996,1.004,192,68,30,6,39,38,0.24402339507252346
1h,2000,15,0.996,1.004,192,68,30,8,39,38,0.24402339507252346
1h,2000,15,0.996,1.004,192,68,32,2,39,38,0.24402339507252346
1h,2000,15,0.996,1.004,192,68,32,4,39,38,0.24402339507252346
1h,2000,15,0.996,1.004,192,68,32,6,39,38,0.24402339507252346
1h,2000,15,0.996,1.004,192,68,32,8,39,38,0.24402339507252346
1h,2000,15,0.996,1.004,192,68,34,2,39,38,0.24402339507252346
1h,2000,15,0.996,1.004,192,68,34,4,39,38,0.24402339507252346
1h,2000,15,0.996,1.004,192,68,34,6,39,38,0.24402339507252346
1h,2000,15,0.996,1.004,192,68,34,8,39,38,0.24402339507252346
1h,2000,15,0.996,1.004,192,68,36,2,39,38,0.24402339507252346
1h,2000,15,0.996,1.004,192,68,36,4,39,38,0.24402339507252346
1h,2000,15,0.996,1.004,192,68,36,6,39,38,0.24402339507252346
1h,2000,15,0.996,1.004,192,68,36,8,39,38,0.24402339507252346
1h,2000,15,0.996,1.004,192,68,38,2,39,38,0.24402339507252346
1h,2000,15,0.996,1.004,192,68,38,4,39,38,0.24402339507252346
1h,2000,15,0.996,1.004,192,68,38,6,39,38,0.24402339507252346
1h,2000,15,0.996,1.004,192,68,38,8,39,38,0.24402339507252346
1h,2000,15,0.996,1.004,192,70,20,2,39,38,1.5959361036518294
1h,2000,15,0.996,1.004,192,70,20,4,39,38,1.5959361036518294
1h,2000,15,0.996,1.004,192,70,20,6,39,38,1.5959361036518294
1h,2000,15,0.996,1.004,192,70,20,8,39,38,1.5959361036518294
1h,2000,15,0.996,1.004,192,70,22,2,39,38,1.5959361036518294
1h,2000,15,0.996,1.004,192,70,22,4,39,38,1.5959361036518294
1h,2000,15,0.996,1.004,192,70,22,6,39,38,1.5959361036518294
1h,2000,15,0.996,1.004,192,70,22,8,39,38,1.5959361036518294
1h,2000,15,0.996,1.004,192,70,24,2,39,38,1.5959361036518294
1h,2000,15,0.996,1.004,192,70,24,4,39,38,1.5959361036518294
1h,2000,15,0.996,1.004,192,70,24,6,39,38,1.5959361036518294
1h,2000,15,0.996,1.004,192,70,24,8,39,38,1.5959361036518294
1h,2000,15,0.996,1.004,192,70,26,2,39,38,1.5959361036518294
1h,2000,15,0.996,1.004,192,70,26,4,39,38,1.5959361036518294
1h,2000,15,0.996,1.004,192,70,26,6,39,38,1.5959361036518294
1h,2000,15,0.996,1.004,192,70,26,8,39,38,1.5959361036518294
1h,2000,15,0.996,1.004,192,70,28,2,39,38,1.5959361036518294
1h,2000,15,0.996,1.004,192,70,28,4,39,38,1.5959361036518294
1h,2000,15,0.996,1.004,192,70,28,6,39,38,1.5959361036518294
1h,2000,15,0.996,1.004,192,70,28,8,39,38,1.5959361036518294
1h,2000,15,0.996,1.004,192,70,30,2,39,38,1.5959361036518294
1h,2000,15,0.996,1.004,192,70,30,4,39,38,1.5959361036518294
1h,2000,15,0.996,1.004,192,70,30,6,39,38,1.5959361036518294
1h,2000,15,0.996,1.004,192,70,30,8,39,38,1.5959361036518294
1h,2000,15,0.996,1.004,192,70,32,2,39,38,1.5959361036518294
1h,2000,15,0.996,1.004,192,70,32,4,39,38,1.5959361036518294
1h,2000,15,0.996,1.004,192,70,32,6,39,38,1.5959361036518294
1h,2000,15,0.996,1.004,192,70,32,8,39,38,1.5959361036518294
1h,2000,15,0.996,1.004,192,70,34,2,39,38,1.5959361036518294
1h,2000,15,0.996,1.004,192,70,34,4,39,38,1.5959361036518294
1h,2000,15,0.996,1.004,192,70,34,6,39,38,1.5959361036518294
1h,2000,15,0.996,1.004,192,70,34,8,39,38,1.5959361036518294
1h,2000,15,0.996,1.004,192,70,36,2,39,38,1.5959361036518294
1h,2000,15,0.996,1.004,192,70,36,4,39,38,1.5959361036518294
1h,2000,15,0.996,1.004,192,70,36,6,39,38,1.5959361036518294
1h,2000,15,0.996,1.004,192,70,36,8,39,38,1.5959361036518294
1h,2000,15,0.996,1.004,192,70,38,2,39,38,1.5959361036518294
1h,2000,15,0.996,1.004,192,70,38,4,39,38,1.5959361036518294
1h,2000,15,0.996,1.004,192,70,38,6,39,38,1.5959361036518294
1h,2000,15,0.996,1.004,192,70,38,8,39,38,1.5959361036518294
1h,2000,15,0.996,1.004,192,72,20,2,38,37,2.8232874177147815
1h,2000,15,0.996,1.004,192,72,20,4,38,37,2.8232874177147815
1h,2000,15,0.996,1.004,192,72,20,6,38,37,2.8232874177147815
1h,2000,15,0.996,1.004,192,72,20,8,38,37,2.8232874177147815
1h,2000,15,0.996,1.004,192,72,22,2,38,37,2.8232874177147815
1h,2000,15,0.996,1.004,192,72,22,4,38,37,2.8232874177147815
1h,2000,15,0.996,1.004,192,72,22,6,38,37,2.8232874177147815
1h,2000,15,0.996,1.004,192,72,22,8,38,37,2.8232874177147815
1h,2000,15,0.996,1.004,192,72,24,2,38,37,2.8232874177147815
1h,2000,15,0.996,1.004,192,72,24,4,38,37,2.8232874177147815
1h,2000,15,0.996,1.004,192,72,24,6,38,37,2.8232874177147815
1h,2000,15,0.996,1.004,192,72,24,8,38,37,2.8232874177147815
1h,2000,15,0.996,1.004,192,72,26,2,38,37,2.8232874177147815
1h,2000,15,0.996,1.004,192,72,26,4,38,37,2.8232874177147815
1h,2000,15,0.996,1.004,192,72,26,6,38,37,2.8232874177147815
1h,2000,15,0.996,1.004,192,72,26,8,38,37,2.8232874177147815
1h,2000,15,0.996,1.004,192,72,28,2,38,37,2.8232874177147815
1h,2000,15,0.996,1.004,192,72,28,4,38,37,2.8232874177147815
1h,2000,15,0.996,1.004,192,72,28,6,38,37,2.8232874177147815
1h,2000,15,0.996,1.004,192,72,28,8,38,37,2.8232874177147815
1h,2000,15,0.996,1.004,192,72,30,2,38,37,2.8232874177147815
1h,2000,15,0.996,1.004,192,72,30,4,38,37,2.8232874177147815
1h,2000,15,0.996,1.004,192,72,30,6,38,37,2.8232874177147815
1h,2000,15,0.996,1.004,192,72,30,8,38,37,2.8232874177147815
1h,2000,15,0.996,1.004,192,72,32,2,38,37,2.8232874177147815
1h,2000,15,0.996,1.004,192,72,32,4,38,37,2.8232874177147815
1h,2000,15,0.996,1.004,192,72,32,6,38,37,2.8232874177147815
1h,2000,15,0.996,1.004,192,72,32,8,38,37,2.8232874177147815
1h,2000,15,0.996,1.004,192,72,34,2,38,37,2.8232874177147815
1h,2000,15,0.996,1.004,192,72,34,4,38,37,2.8232874177147815
1h,2000,15,0.996,1.004,192,72,34,6,38,37,2.8232874177147815
1h,2000,15,0.996,1.004,192,72,34,8,38,37,2.8232874177147815
1h,2000,15,0.996,1.004,192,72,36,2,38,37,2.8232874177147815
1h,2000,15,0.996,1.004,192,72,36,4,38,37,2.8232874177147815
1h,2000,15,0.996,1.004,192,72,36,6,38,37,2.8232874177147815
1h,2000,15,0.996,1.004,192,72,36,8,38,37,2.8232874177147815
1h,2000,15,0.996,1.004,192,72,38,2,38,37,2.8232874177147815
1h,2000,15,0.996,1.004,192,72,38,4,38,37,2.8232874177147815
1h,2000,15,0.996,1.004,192,72,38,6,38,37,2.8232874177147815
1h,2000,15,0.996,1.004,192,72,38,8,38,37,2.8232874177147815
1h,2000,15,0.996,1.004,192,74,20,2,35,34,4.5041195994544925
1h,2000,15,0.996,1.004,192,74,20,4,35,34,4.5041195994544925
1h,2000,15,0.996,1.004,192,74,20,6,35,34,4.5041195994544925
1h,2000,15,0.996,1.004,192,74,20,8,35,34,4.5041195994544925
1h,2000,15,0.996,1.004,192,74,22,2,35,34,4.5041195994544925
1h,2000,15,0.996,1.004,192,74,22,4,35,34,4.5041195994544925
1h,2000,15,0.996,1.004,192,74,22,6,35,34,4.5041195994544925
1h,2000,15,0.996,1.004,192,74,22,8,35,34,4.5041195994544925
1h,2000,15,0.996,1.004,192,74,24,2,35,34,4.5041195994544925
1h,2000,15,0.996,1.004,192,74,24,4,35,34,4.5041195994544925
1h,2000,15,0.996,1.004,192,74,24,6,35,34,4.5041195994544925
1h,2000,15,0.996,1.004,192,74,24,8,35,34,4.5041195994544925
1h,2000,15,0.996,1.004,192,74,26,2,35,34,4.5041195994544925
1h,2000,15,0.996,1.004,192,74,26,4,35,34,4.5041195994544925
1h,2000,15,0.996,1.004,192,74,26,6,35,34,4.5041195994544925
1h,2000,15,0.996,1.004,192,74,26,8,35,34,4.5041195994544925
1h,2000,15,0.996,1.004,192,74,28,2,35,34,4.5041195994544925
1h,2000,15,0.996,1.004,192,74,28,4,35,34,4.5041195994544925
1h,2000,15,0.996,1.004,192,74,28,6,35,34,4.5041195994544925
1h,2000,15,0.996,1.004,192,74,28,8,35,34,4.5041195994544925
1h,2000,15,0.996,1.004,192,74,30,2,35,34,4.5041195994544925
1h,2000,15,0.996,1.004,192,74,30,4,35,34,4.5041195994544925
1h,2000,15,0.996,1.004,192,74,30,6,35,34,4.5041195994544925
1h,2000,15,0.996,1.004,192,74,30,8,35,34,4.5041195994544925
1h,2000,15,0.996,1.004,192,74,32,2,35,34,4.5041195994544925
1h,2000,15,0.996,1.004,192,74,32,4,35,34,4.5041195994544925
1h,2000,15,0.996,1.004,192,74,32,6,35,34,4.5041195994544925
1h,2000,15,0.996,1.004,192,74,32,8,35,34,4.5041195994544925
1h,2000,15,0.996,1.004,192,74,34,2,35,34,4.5041195994544925
1h,2000,15,0.996,1.004,192,74,34,4,35,34,4.5041195994544925
1h,2000,15,0.996,1.004,192,74,34,6,35,34,4.5041195994544925
1h,2000,15,0.996,1.004,192,74,34,8,35,34,4.5041195994544925
1h,2000,15,0.996,1.004,192,74,36,2,35,34,4.5041195994544925
1h,2000,15,0.996,1.004,192,74,36,4,35,34,4.5041195994544925
1h,2000,15,0.996,1.004,192,74,36,6,35,34,4.5041195994544925
1h,2000,15,0.996,1.004,192,74,36,8,35,34,4.5041195994544925
1h,2000,15,0.996,1.004,192,74,38,2,35,34,4.5041195994544925
1h,2000,15,0.996,1.004,192,74,38,4,35,34,4.5041195994544925
1h,2000,15,0.996,1.004,192,74,38,6,35,34,4.5041195994544925
1h,2000,15,0.996,1.004,192,74,38,8,35,34,4.5041195994544925
1h,2000,15,0.996,1.004,192,76,20,2,35,34,5.188716780329239
1h,2000,15,0.996,1.004,192,76,20,4,35,34,5.188716780329239
1h,2000,15,0.996,1.004,192,76,20,6,35,34,5.188716780329239
1h,2000,15,0.996,1.004,192,76,20,8,35,34,5.188716780329239
1h,2000,15,0.996,1.004,192,76,22,2,35,34,5.188716780329239
1h,2000,15,0.996,1.004,192,76,22,4,35,34,5.188716780329239
1h,2000,15,0.996,1.004,192,76,22,6,35,34,5.188716780329239
1h,2000,15,0.996,1.004,192,76,22,8,35,34,5.188716780329239
1h,2000,15,0.996,1.004,192,76,24,2,35,34,5.188716780329239
1h,2000,15,0.996,1.004,192,76,24,4,35,34,5.188716780329239
1h,2000,15,0.996,1.004,192,76,24,6,35,34,5.188716780329239
1h,2000,15,0.996,1.004,192,76,24,8,35,34,5.188716780329239
1h,2000,15,0.996,1.004,192,76,26,2,35,34,5.188716780329239
1h,2000,15,0.996,1.004,192,76,26,4,35,34,5.188716780329239
1h,2000,15,0.996,1.004,192,76,26,6,35,34,5.188716780329239
1h,2000,15,0.996,1.004,192,76,26,8,35,34,5.188716780329239
1h,2000,15,0.996,1.004,192,76,28,2,35,34,5.188716780329239
1h,2000,15,0.996,1.004,192,76,28,4,35,34,5.188716780329239
1h,2000,15,0.996,1.004,192,76,28,6,35,34,5.188716780329239
1h,2000,15,0.996,1.004,192,76,28,8,35,34,5.188716780329239
1h,2000,15,0.996,1.004,192,76,30,2,35,34,5.188716780329239
1h,2000,15,0.996,1.004,192,76,30,4,35,34,5.188716780329239
1h,2000,15,0.996,1.004,192,76,30,6,35,34,5.188716780329239
1h,2000,15,0.996,1.004,192,76,30,8,35,34,5.188716780329239
1h,2000,15,0.996,1.004,192,76,32,2,35,34,5.188716780329239
1h,2000,15,0.996,1.004,192,76,32,4,35,34,5.188716780329239
1h,2000,15,0.996,1.004,192,76,32,6,35,34,5.188716780329239
1h,2000,15,0.996,1.004,192,76,32,8,35,34,5.188716780329239
1h,2000,15,0.996,1.004,192,76,34,2,35,34,5.188716780329239
1h,2000,15,0.996,1.004,192,76,34,4,35,34,5.188716780329239
1h,2000,15,0.996,1.004,192,76,34,6,35,34,5.188716780329239
1h,2000,15,0.996,1.004,192,76,34,8,35,34,5.188716780329239
1h,2000,15,0.996,1.004,192,76,36,2,35,34,5.188716780329239
1h,2000,15,0.996,1.004,192,76,36,4,35,34,5.188716780329239
1h,2000,15,0.996,1.004,192,76,36,6,35,34,5.188716780329239
1h,2000,15,0.996,1.004,192,76,36,8,35,34,5.188716780329239
1h,2000,15,0.996,1.004,192,76,38,2,35,34,5.188716780329239
1h,2000,15,0.996,1.004,192,76,38,4,35,34,5.188716780329239
1h,2000,15,0.996,1.004,192,76,38,6,35,34,5.188716780329239
1h,2000,15,0.996,1.004,192,76,38,8,35,34,5.188716780329239
1h,2000,15,0.996,1.004,192,78,20,2,35,34,5.2008922110679645
1h,2000,15,0.996,1.004,192,78,20,4,35,34,5.2008922110679645
1h,2000,15,0.996,1.004,192,78,20,6,35,34,5.2008922110679645
1h,2000,15,0.996,1.004,192,78,20,8,35,34,5.2008922110679645
1h,2000,15,0.996,1.004,192,78,22,2,35,34,5.2008922110679645
1h,2000,15,0.996,1.004,192,78,22,4,35,34,5.2008922110679645
1h,2000,15,0.996,1.004,192,78,22,6,35,34,5.2008922110679645
1h,2000,15,0.996,1.004,192,78,22,8,35,34,5.2008922110679645
1h,2000,15,0.996,1.004,192,78,24,2,35,34,5.2008922110679645
1h,2000,15,0.996,1.004,192,78,24,4,35,34,5.2008922110679645
1h,2000,15,0.996,1.004,192,78,24,6,35,34,5.2008922110679645
1h,2000,15,0.996,1.004,192,78,24,8,35,34,5.2008922110679645
1h,2000,15,0.996,1.004,192,78,26,2,35,34,5.2008922110679645
1h,2000,15,0.996,1.004,192,78,26,4,35,34,5.2008922110679645
1h,2000,15,0.996,1.004,192,78,26,6,35,34,5.2008922110679645
1h,2000,15,0.996,1.004,192,78,26,8,35,34,5.2008922110679645
1h,2000,15,0.996,1.004,192,78,28,2,35,34,5.2008922110679645
1h,2000,15,0.996,1.004,192,78,28,4,35,34,5.2008922110679645
1h,2000,15,0.996,1.004,192,78,28,6,35,34,5.2008922110679645
1h,2000,15,0.996,1.004,192,78,28,8,35,34,5.2008922110679645
1h,2000,15,0.996,1.004,192,78,30,2,35,34,5.2008922110679645
1h,2000,15,0.996,1.004,192,78,30,4,35,34,5.2008922110679645
1h,2000,15,0.996,1.004,192,78,30,6,35,34,5.2008922110679645
1h,2000,15,0.996,1.004,192,78,30,8,35,34,5.2008922110679645
1h,2000,15,0.996,1.004,192,78,32,2,35,34,5.2008922110679645
1h,2000,15,0.996,1.004,192,78,32,4,35,34,5.2008922110679645
1h,2000,15,0.996,1.004,192,78,32,6,35,34,5.2008922110679645
1h,2000,15,0.996,1.004,192,78,32,8,35,34,5.2008922110679645
1h,2000,15,0.996,1.004,192,78,34,2,35,34,5.2008922110679645
1h,2000,15,0.996,1.004,192,78,34,4,35,34,5.2008922110679645
1h,2000,15,0.996,1.004,192,78,34,6,35,34,5.2008922110679645
1h,2000,15,0.996,1.004,192,78,34,8,35,34,5.2008922110679645
1h,2000,15,0.996,1.004,192,78,36,2,35,34,5.2008922110679645
1h,2000,15,0.996,1.004,192,78,36,4,35,34,5.2008922110679645
1h,2000,15,0.996,1.004,192,78,36,6,35,34,5.2008922110679645
1h,2000,15,0.996,1.004,192,78,36,8,35,34,5.2008922110679645
1h,2000,15,0.996,1.004,192,78,38,2,35,34,5.2008922110679645
1h,2000,15,0.996,1.004,192,78,38,4,35,34,5.2008922110679645
1h,2000,15,0.996,1.004,192,78,38,6,35,34,5.2008922110679645
1h,2000,15,0.996,1.004,192,78,38,8,35,34,5.2008922110679645
1h,2000,15,0.996,1.004,194,50,20,2,41,40,-4.778271833857961
1h,2000,15,0.996,1.004,194,50,20,4,41,40,-4.778271833857961
1h,2000,15,0.996,1.004,194,50,20,6,41,40,-4.778271833857961
1h,2000,15,0.996,1.004,194,50,20,8,41,40,-4.778271833857961
1h,2000,15,0.996,1.004,194,50,22,2,41,40,-4.778271833857961
1h,2000,15,0.996,1.004,194,50,22,4,41,40,-4.778271833857961
1h,2000,15,0.996,1.004,194,50,22,6,41,40,-4.778271833857961
1h,2000,15,0.996,1.004,194,50,22,8,41,40,-4.778271833857961
1h,2000,15,0.996,1.004,194,50,24,2,41,40,-4.778271833857961
1h,2000,15,0.996,1.004,194,50,24,4,41,40,-4.778271833857961
1h,2000,15,0.996,1.004,194,50,24,6,41,40,-4.778271833857961
1h,2000,15,0.996,1.004,194,50,24,8,41,40,-4.778271833857961
1h,2000,15,0.996,1.004,194,50,26,2,41,40,-4.778271833857961
1h,2000,15,0.996,1.004,194,50,26,4,41,40,-4.778271833857961
1h,2000,15,0.996,1.004,194,50,26,6,41,40,-4.778271833857961
1h,2000,15,0.996,1.004,194,50,26,8,41,40,-4.778271833857961
1h,2000,15,0.996,1.004,194,50,28,2,41,40,-4.778271833857961
1h,2000,15,0.996,1.004,194,50,28,4,41,40,-4.778271833857961
1h,2000,15,0.996,1.004,194,50,28,6,41,40,-4.778271833857961
1h,2000,15,0.996,1.004,194,50,28,8,41,40,-4.778271833857961
1h,2000,15,0.996,1.004,194,50,30,2,41,40,-4.778271833857961
1h,2000,15,0.996,1.004,194,50,30,4,41,40,-4.778271833857961
1h,2000,15,0.996,1.004,194,50,30,6,41,40,-4.778271833857961
1h,2000,15,0.996,1.004,194,50,30,8,41,40,-4.778271833857961
1h,2000,15,0.996,1.004,194,50,32,2,41,40,-4.778271833857961
1h,2000,15,0.996,1.004,194,50,32,4,41,40,-4.778271833857961
1h,2000,15,0.996,1.004,194,50,32,6,41,40,-4.778271833857961
1h,2000,15,0.996,1.004,194,50,32,8,41,40,-4.778271833857961
1h,2000,15,0.996,1.004,194,50,34,2,41,40,-4.778271833857961
1h,2000,15,0.996,1.004,194,50,34,4,41,40,-4.778271833857961
1h,2000,15,0.996,1.004,194,50,34,6,41,40,-4.778271833857961
1h,2000,15,0.996,1.004,194,50,34,8,41,40,-4.778271833857961
1h,2000,15,0.996,1.004,194,50,36,2,41,40,-4.778271833857961
1h,2000,15,0.996,1.004,194,50,36,4,41,40,-4.778271833857961
1h,2000,15,0.996,1.004,194,50,36,6,41,40,-4.778271833857961
1h,2000,15,0.996,1.004,194,50,36,8,41,40,-4.778271833857961
1h,2000,15,0.996,1.004,194,50,38,2,41,40,-4.778271833857961
1h,2000,15,0.996,1.004,194,50,38,4,41,40,-4.778271833857961
1h,2000,15,0.996,1.004,194,50,38,6,41,40,-4.778271833857961
1h,2000,15,0.996,1.004,194,50,38,8,41,40,-4.778271833857961
1h,2000,15,0.996,1.004,194,52,20,2,39,38,-5.610489314162869
1h,2000,15,0.996,1.004,194,52,20,4,39,38,-5.610489314162869
1h,2000,15,0.996,1.004,194,52,20,6,39,38,-5.610489314162869
1h,2000,15,0.996,1.004,194,52,20,8,39,38,-5.610489314162869
1h,2000,15,0.996,1.004,194,52,22,2,39,38,-5.610489314162869
1h,2000,15,0.996,1.004,194,52,22,4,39,38,-5.610489314162869
1h,2000,15,0.996,1.004,194,52,22,6,39,38,-5.610489314162869
1h,2000,15,0.996,1.004,194,52,22,8,39,38,-5.610489314162869
1h,2000,15,0.996,1.004,194,52,24,2,39,38,-5.610489314162869
1h,2000,15,0.996,1.004,194,52,24,4,39,38,-5.610489314162869
1h,2000,15,0.996,1.004,194,52,24,6,39,38,-5.610489314162869
1h,2000,15,0.996,1.004,194,52,24,8,39,38,-5.610489314162869
1h,2000,15,0.996,1.004,194,52,26,2,39,38,-5.610489314162869
1h,2000,15,0.996,1.004,194,52,26,4,39,38,-5.610489314162869
1h,2000,15,0.996,1.004,194,52,26,6,39,38,-5.610489314162869
1h,2000,15,0.996,1.004,194,52,26,8,39,38,-5.610489314162869
1h,2000,15,0.996,1.004,194,52,28,2,39,38,-5.610489314162869
1h,2000,15,0.996,1.004,194,52,28,4,39,38,-5.610489314162869
1h,2000,15,0.996,1.004,194,52,28,6,39,38,-5.610489314162869
1h,2000,15,0.996,1.004,194,52,28,8,39,38,-5.610489314162869
1h,2000,15,0.996,1.004,194,52,30,2,39,38,-5.610489314162869
1h,2000,15,0.996,1.004,194,52,30,4,39,38,-5.610489314162869
1h,2000,15,0.996,1.004,194,52,30,6,39,38,-5.610489314162869
1h,2000,15,0.996,1.004,194,52,30,8,39,38,-5.610489314162869
1h,2000,15,0.996,1.004,194,52,32,2,39,38,-5.610489314162869
1h,2000,15,0.996,1.004,194,52,32,4,39,38,-5.610489314162869
1h,2000,15,0.996,1.004,194,52,32,6,39,38,-5.610489314162869
1h,2000,15,0.996,1.004,194,52,32,8,39,38,-5.610489314162869
1h,2000,15,0.996,1.004,194,52,34,2,39,38,-5.610489314162869
1h,2000,15,0.996,1.004,194,52,34,4,39,38,-5.610489314162869
1h,2000,15,0.996,1.004,194,52,34,6,39,38,-5.610489314162869
1h,2000,15,0.996,1.004,194,52,34,8,39,38,-5.610489314162869
1h,2000,15,0.996,1.004,194,52,36,2,39,38,-5.610489314162869
1h,2000,15,0.996,1.004,194,52,36,4,39,38,-5.610489314162869
1h,2000,15,0.996,1.004,194,52,36,6,39,38,-5.610489314162869
1h,2000,15,0.996,1.004,194,52,36,8,39,38,-5.610489314162869
